accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
OR625014.1,Pampus argenteus,Actinopterygii,COI,669,Red Sea,"Pampus argenteus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR394175.1,Carcharhinus falciformis,Elasmobranchii,COI,685,Indian Ocean,"Carcharhinus falciformis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR988910.1,Rastrelliger kanagurta,Actinopterygii,COI,717,Western Indian Ocean,"Rastrelliger kanagurta voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR863721.1,Carcharhinus falciformis,Elasmobranchii,CYTB,964,Gulf of Oman,"Carcharhinus falciformis voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR884561.1,Lutjanus argentimaculatus,Actinopterygii,COI,646,Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_116168,Taeniura lymma,Elasmobranchii,12S rRNA,370,Indian Ocean,"Taeniura lymma voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR791769.1,Lethrinus nebulosus,Actinopterygii,COI,620,Laccadive Sea,"Lethrinus nebulosus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR571610.1,Chaetodon pictus,Actinopterygii,16S rRNA,552,Bay of Bengal,"Chaetodon pictus voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR787623.1,Thunnus albacares,Actinopterygii,COI,705,Western Indian Ocean,"Thunnus albacares voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR555204.1,Thunnus albacares,Actinopterygii,COI,684,Western Indian Ocean,"Thunnus albacares voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR660698.1,Epinephelus coioides,Actinopterygii,16S rRNA,548,Red Sea,"Epinephelus coioides voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR214915.1,Thunnus albacares,Actinopterygii,COI,645,Laccadive Sea,"Thunnus albacares voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR198550.1,Chaetodon pictus,Actinopterygii,COI,649,Western Indian Ocean,"Chaetodon pictus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR707707.1,Epinephelus coioides,Actinopterygii,12S rRNA,426,Red Sea,"Epinephelus coioides voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR922430.1,Rhynchobatus djiddensis,Elasmobranchii,CYTB,936,Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_618682,Taeniura lymma,Elasmobranchii,COI,625,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR395819.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,354,Western Indian Ocean,"Rastrelliger kanagurta voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR631732.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,374,Bay of Bengal,"Galeocerdo cuvier voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR230414.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,397,Bay of Bengal,"Carcharhinus limbatus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR463512.1,Nemipterus japonicus,Actinopterygii,CYTB,889,Bay of Bengal,"Nemipterus japonicus voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR503930.1,Katsuwonus pelamis,Actinopterygii,COI,632,Western Indian Ocean,"Katsuwonus pelamis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR122239.1,Sarda orientalis,Actinopterygii,12S rRNA,413,Gulf of Oman,"Sarda orientalis voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR880295.1,Nemipterus japonicus,Actinopterygii,COI,646,Red Sea,"Nemipterus japonicus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR506003.1,Epinephelus coioides,Actinopterygii,COI,636,Red Sea,"Epinephelus coioides voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR622789.1,Katsuwonus pelamis,Actinopterygii,COI,624,Laccadive Sea,"Katsuwonus pelamis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_430514,Epinephelus coioides,Actinopterygii,16S rRNA,572,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR249715.1,Lethrinus nebulosus,Actinopterygii,COI,616,Indian Ocean,"Lethrinus nebulosus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR999069.1,Sphyrna lewini,Elasmobranchii,12S rRNA,408,Western Indian Ocean,"Sphyrna lewini voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR205378.1,Epinephelus coioides,Actinopterygii,CYTB,1023,Red Sea,"Epinephelus coioides voucher specimen from Red Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR203499.1,Chaetodon pictus,Actinopterygii,COI,641,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR495768.1,Thunnus albacares,Actinopterygii,16S rRNA,506,Gulf of Oman,"Thunnus albacares voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR222921.1,Lethrinus nebulosus,Actinopterygii,COI,643,Red Sea,"Lethrinus nebulosus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR818908.1,Lutjanus argentimaculatus,Actinopterygii,Control Region,866,Laccadive Sea,"Lutjanus argentimaculatus voucher specimen from Laccadive Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR815079.1,Lutjanus argentimaculatus,Actinopterygii,16S rRNA,550,Bay of Bengal,"Lutjanus argentimaculatus voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR733795.1,Epinephelus coioides,Actinopterygii,12S rRNA,427,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_574432,Rastrelliger kanagurta,Actinopterygii,12S rRNA,381,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR590022.1,Scomberomorus commerson,Actinopterygii,CYTB,950,Gulf of Oman,"Scomberomorus commerson voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR654218.1,Rastrelliger kanagurta,Actinopterygii,COI,703,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR874060.1,Lutjanus argentimaculatus,Actinopterygii,COI,627,Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR317998.1,Pempheris rhomboidea,Actinopterygii,16S rRNA,570,Arabian Sea,"Pempheris rhomboidea voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR638924.1,Rhynchobatus djiddensis,Elasmobranchii,COI,641,Red Sea,"Rhynchobatus djiddensis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR173139.1,Carcharhinus limbatus,Elasmobranchii,16S rRNA,558,Bay of Bengal,"Carcharhinus limbatus voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR193002.1,Sarda orientalis,Actinopterygii,COI,637,Indian Ocean,"Sarda orientalis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR669774.1,Katsuwonus pelamis,Actinopterygii,COI,712,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR946627.1,Sphyrna lewini,Elasmobranchii,COI,639,Bay of Bengal,"Sphyrna lewini voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_858674,Pampus argenteus,Actinopterygii,Control Region,971,Red Sea,"Pampus argenteus voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR129594.1,Lutjanus argentimaculatus,Actinopterygii,COI,677,Arabian Sea,"Lutjanus argentimaculatus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR395606.1,Thunnus albacares,Actinopterygii,16S rRNA,507,Arabian Sea,"Thunnus albacares voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR514730.1,Nemipterus japonicus,Actinopterygii,12S rRNA,379,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR374545.1,Rhynchobatus djiddensis,Elasmobranchii,COI,709,Laccadive Sea,"Rhynchobatus djiddensis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR173554.1,Pempheris rhomboidea,Actinopterygii,CYTB,990,Gulf of Oman,"Pempheris rhomboidea voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR562630.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,365,Arabian Sea,"Carcharhinus limbatus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR896672.1,Epinephelus coioides,Actinopterygii,16S rRNA,516,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR517586.1,Rhynchobatus djiddensis,Elasmobranchii,16S rRNA,587,Gulf of Oman,"Rhynchobatus djiddensis voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR881321.1,Chaetodon pictus,Actinopterygii,COI,664,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_396793,Scomberomorus commerson,Actinopterygii,12S rRNA,424,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR462924.1,Pampus argenteus,Actinopterygii,16S rRNA,583,Laccadive Sea,"Pampus argenteus voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR423917.1,Pampus argenteus,Actinopterygii,CYTB,1030,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR492483.1,Thunnus albacares,Actinopterygii,12S rRNA,409,Indian Ocean,"Thunnus albacares voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR537059.1,Thunnus albacares,Actinopterygii,16S rRNA,571,Bay of Bengal,"Thunnus albacares voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR903953.1,Lethrinus nebulosus,Actinopterygii,Control Region,1085,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR909699.1,Sphyrna lewini,Elasmobranchii,16S rRNA,556,Arabian Sea,"Sphyrna lewini voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR569661.1,Rastrelliger kanagurta,Actinopterygii,16S rRNA,548,Arabian Sea,"Rastrelliger kanagurta voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR915073.1,Epinephelus coioides,Actinopterygii,COI,632,Arabian Sea,"Epinephelus coioides voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR904005.1,Katsuwonus pelamis,Actinopterygii,COI,607,Red Sea,"Katsuwonus pelamis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_132153,Taeniura lymma,Elasmobranchii,Control Region,896,Arabian Sea,"Taeniura lymma voucher specimen from Arabian Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR489396.1,Mobula alfredi,Elasmobranchii,12S rRNA,445,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR888595.1,Lethrinus nebulosus,Actinopterygii,COI,696,Western Indian Ocean,"Lethrinus nebulosus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR907378.1,Galeocerdo cuvier,Elasmobranchii,Control Region,1084,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR942315.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,448,Arabian Sea,"Rhynchobatus djiddensis voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR462108.1,Rhynchobatus djiddensis,Elasmobranchii,COI,697,Red Sea,"Rhynchobatus djiddensis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR867130.1,Chaetodon pictus,Actinopterygii,COI,688,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR190722.1,Lutjanus argentimaculatus,Actinopterygii,16S rRNA,544,Bay of Bengal,"Lutjanus argentimaculatus voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR983825.1,Sphyrna lewini,Elasmobranchii,Control Region,1035,Indian Ocean,"Sphyrna lewini voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR225003.1,Lethrinus nebulosus,Actinopterygii,COI,715,Arabian Sea,"Lethrinus nebulosus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_189286,Mobula alfredi,Elasmobranchii,COI,680,Bay of Bengal,"Mobula alfredi voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR576072.1,Pampus argenteus,Actinopterygii,COI,649,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR376368.1,Chaetodon pictus,Actinopterygii,16S rRNA,550,Western Indian Ocean,"Chaetodon pictus voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR971624.1,Galeocerdo cuvier,Elasmobranchii,COI,607,Laccadive Sea,"Galeocerdo cuvier voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR523287.1,Nemipterus japonicus,Actinopterygii,COI,703,Bay of Bengal,"Nemipterus japonicus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR507737.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,443,Arabian Sea,"Carcharhinus limbatus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR764912.1,Epinephelus coioides,Actinopterygii,COI,623,Laccadive Sea,"Epinephelus coioides voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR575853.1,Sarda orientalis,Actinopterygii,12S rRNA,447,Western Indian Ocean,"Sarda orientalis voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR362176.1,Mobula alfredi,Elasmobranchii,COI,660,Indian Ocean,"Mobula alfredi voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR530458.1,Carcharhinus falciformis,Elasmobranchii,COI,719,Arabian Sea,"Carcharhinus falciformis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_813482,Sardinella longiceps,Actinopterygii,COI,678,Arabian Sea,"Sardinella longiceps voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR223541.1,Sardinella longiceps,Actinopterygii,CYTB,892,Gulf of Oman,"Sardinella longiceps voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR547766.1,Pempheris rhomboidea,Actinopterygii,COI,687,Bay of Bengal,"Pempheris rhomboidea voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR421112.1,Carcharhinus limbatus,Elasmobranchii,16S rRNA,504,Gulf of Oman,"Carcharhinus limbatus voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR373401.1,Sardinella longiceps,Actinopterygii,COI,627,Arabian Sea,"Sardinella longiceps voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR662645.1,Pampus argenteus,Actinopterygii,COI,651,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR352580.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,371,Red Sea,"Rhynchobatus djiddensis voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR712017.1,Sphyrna lewini,Elasmobranchii,12S rRNA,383,Western Indian Ocean,"Sphyrna lewini voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR976748.1,Epinephelus coioides,Actinopterygii,12S rRNA,421,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR436086.1,Chaetodon pictus,Actinopterygii,12S rRNA,382,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_231258,Sardinella longiceps,Actinopterygii,12S rRNA,354,Red Sea,"Sardinella longiceps voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR467859.1,Scomberomorus commerson,Actinopterygii,12S rRNA,404,Gulf of Oman,"Scomberomorus commerson voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR444692.1,Lethrinus nebulosus,Actinopterygii,16S rRNA,534,Gulf of Oman,"Lethrinus nebulosus voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR800975.1,Rastrelliger kanagurta,Actinopterygii,COI,627,Laccadive Sea,"Rastrelliger kanagurta voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR588037.1,Epinephelus coioides,Actinopterygii,COI,699,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR480032.1,Carcharhinus limbatus,Elasmobranchii,16S rRNA,561,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR659658.1,Pempheris rhomboidea,Actinopterygii,COI,701,Gulf of Oman,"Pempheris rhomboidea voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
